tenure,deposit,turnover,withdrawal,deposit_next
582,33542.8,87985.6,29274.86,4504.77
5241,78162.56,440886.77,75464.51,464.02
83,78.9,29.06,56.55,0
6631,30798.57,123870.9,26044.65,1342.81
7,236.75,1411.48,0,0
5304,10695.62,96713.06,10947.02,0
445,978.15,2706.11,2177.88,473.17
73,22.96,124.19,0,0
6122,260.94,337.65,0,0
1687,47.44,296.24,0,0
0,68.12,123.29,0,0
27,3257.03,22194.44,5060.26,3199.1
2663,439.15,1066.51,0,0
6226,33639.95,134123.63,21573.01,154.27
2768,150.81,153.64,0,0
1823,31492.99,93974.92,15058.98,0
4255,865,9280.19,185.14,0
2249,2034.18,2175.21,474.65,0
2656,609.86,1986.21,113.54,0
733,284.96,826.21,0,88.96
2604,3030.23,18130.62,0,816.81
2303,72722.3,1052331.64,3909.89,678.82
0,326.85,326.85,0,0
0,35.6,49.84,0,0
2799,448.22,2298.78,0,0
73,709.99,9783.5,709.99,0
3525,302.07,995.96,359.03,23.12
801,552.4,2945.13,288.47,46.99
1378,40683.24,125845.7,36934.69,874.75
2,59.31,59.31,0,0
163,428.24,1422.7,343.64,0
219,35.26,47.02,0,0
107,2493.82,27088.65,2682.82,1269.04
823,429.65,2667.63,224.92,288.63
823,459.02,1176.7,179.85,0
2,23.67,23.67,0,23.49
1022,7374.84,60367.32,5968.34,0
56,239.71,774.48,0,169.09
1981,13269.79,59219.7,19954.64,18320.78
5221,4179.5,28911.54,3448.4,0
1446,2181.99,5039.98,888.48,46.85
1190,3065.26,38460.69,1847.27,228.44
5187,62448.57,408749.48,49944.14,0
365,169.65,1395.65,0,0
0,23.71,89.86,0,0
15,71.64,107.68,47.94,120.08
380,2714.17,4734.41,5912.91,0
616,18341.53,142197.69,15657.5,1023.94
4028,257.45,2676.9,399.72,0
0,35.6,37.97,0,0
0,70.68,218.04,70.68,47.06
6275,514,1228.49,0,0
0,23.45,58.16,0,0
6071,5261.33,25671.4,1983.88,0
3968,2165.02,8066.3,2175.8,0
536,562.04,2874.19,400.9,152.31
971,10706.24,57260.92,11941.44,139.21
0,23.74,100.9,0,0
7154,569075.59,3458440.38,536269.79,2491.3
2050,354.57,354.57,0,0
3556,2237.96,7113.35,1707.7,0
2088,2942.42,21965.19,1190.62,142.58
27,47.28,59.1,0,0
1928,23.31,49.54,0,0
2651,1029.53,8052.36,801.1,0
0,33.39,44.52,0,0
1572,46.47,70.65,0,0
0,46.52,88.84,0,70.34
6197,7961.04,8191.6,5879.58,0
3970,4742.35,8650.74,772.91,0
3598,4173.51,15981.82,1433.05,0
2261,2114.49,5737.69,1545.4,0
170,332.35,2048.66,164.3,665.55
6599,996723.82,9959702.87,671927.26,0
4676,12196.15,281809.27,1232.24,0
4479,174692.11,1195845.15,125268.2,989.98
4104,322.77,1272.51,111.34,44.76
2587,66762.03,207972.41,50404.28,4092.19
183,1910.25,6080.33,369.04,1323.7
1558,45.85,123.58,0,0
348,471.97,1293.29,0,274.34
3215,5394.46,51526.57,3151.73,45.9
83,161.08,908.32,0,58.05
0,117.27,3033.82,0,330.04
3571,1316.24,4879.67,3153.1,0
6884,3595.45,8070.09,890.72,0
1908,793.65,1701.68,235.79,0
224,1007.89,3906.19,2953.2,289.26
2675,540.9,3704.17,146.55,0
616,161.16,455.13,0,0
908,5853.12,8202.53,7819.85,1843.21
5450,5937.73,17654.66,4289,0
908,12710.27,44211.23,15779.85,0
1290,9684.65,53632.47,7965.68,468.78
2889,2475.49,8911.08,873.8,0
4367,4413.11,13949.51,3489.95,0
0,46.58,132.53,0,29
672,3544.7,48798.66,1935.02,965.97
1609,9666.39,57115.25,9218.61,2164.33
908,69.12,179.83,0,0
2154,713.99,2029.83,118.05,0
5263,1021.23,1505.03,330.37,0
1670,23.84,0,0,0
73,23.29,81.98,0,0
370,2403.51,7670.03,2377.66,639.93
3313,300.68,338.21,0,0
321,611.01,2814.81,183.21,46.99
1555,1871.34,4261.3,939.64,1213.25
0,23.45,63.79,0,0
224,3619.45,14537.83,2570.47,0
3602,60.62,113.35,0,103.56
1974,33034.07,186341.03,31923.24,2159.18
0,1187.77,3022.88,0,0
718,8085.19,57638.75,5687.03,0
640,1329.04,6118.36,0,225.25
781,3943.8,75101.51,2763.82,255.83
4218,7036.7,49104.01,7783.77,0
4082,245.15,4760.14,121.06,290.3
4043,31292.98,303713.74,23651.66,1160.53
71,262.12,402,0,23.73
222,22.61,22.61,0,0
387,68.7,739.05,0,0
224,964.03,3992.51,0,0
226,68.47,54.83,46.68,0
246,450.96,1210.75,452.7,0
222,1045.52,3613.21,2091.18,0
73,23.14,188.56,0,0
1714,137.35,375.48,0,0
348,821.05,2603.69,603.62,250.39
1368,603.02,1352.97,157.99,24.11
857,7735.9,29994.7,2801.17,469.02
275,116.32,744.08,0,0
0,71.77,256.46,0,0
1456,1335.84,4715.38,1466.78,139.96
246,124.19,198.71,0,0
0,949.73,2687.73,0,0
6282,478.17,2534.98,246.15,649.16
0,144.5,0,144.5,0
256,238.39,1872.57,227.24,148.99
3398,15065.71,74031.45,2879.72,989.55
73,114.31,326,0,0
2,378.54,1123.51,945.44,0
1244,919.02,7543.74,2677.41,0
725,3805.85,15192.13,6901.23,0
6331,2420.46,12296.89,1917.97,166
1229,1066.93,5286.54,780.93,114.28
2877,1623.77,4636.63,1346.86,1691.92
518,390.05,1089.67,210.94,35.93
39,460.52,1071.9,369.38,0
4235,134764.52,2345663.55,54614.07,0
1334,10639.53,67078.21,0,0
219,57.15,82.18,0,0
2,46.74,46.74,0,68.73
314,35.41,82.61,47.21,0
1526,20243.13,90022.41,17114.31,0
647,5784.75,14104.89,4277.54,70.64
3427,74.12,180.69,0,0
2106,540.54,9039.41,1231.03,0
1835,18023.59,99550.16,12829.34,242.21
2607,38916.55,172066.12,16882.77,1658.5
1585,414.25,9365.78,787.43,0
0,23.36,33.64,0,23.56
4252,125978.18,935417.99,111233.94,19569.79
2928,895.91,8620.05,2857.5,0
4304,3644.34,17344.65,0,69.25
4230,278.39,815.4,0,65.94
229,334.91,1033.35,185.66,0
73,115.06,115.06,272.7,0
6010,604.22,643.72,0,0
1560,8389.06,19427.67,9950.12,2053.14
12,354.56,949.66,198.61,201.73
0,234.66,515.56,0,0
73,23.31,23.31,0,0
3067,58131.36,253465.17,40200.78,2174.53
222,1380.7,4166.05,2324.19,0
1996,223.2,360.5,364.04,35.34
6645,60945.63,188934.17,37521.17,1474.44
1227,106109.34,396404.36,96277.65,2180.01
0,44.59,0,44.59,651.71
32,365.2,650.29,82.46,0
2132,2479.91,18372.05,2423.64,118.48
3181,128.09,974.62,0,0
95,11445.13,59299.61,11457.36,0
1144,2535.74,20074.52,0,482.88
110,1351.35,3356.24,0,0
173,114.73,0,114.73,0
1409,2983.58,12896.41,3890.3,1090.18
1317,1122.04,3389.13,144.21,69.37
930,2899.58,7974.89,1046.28,23.22
0,481.02,235.7,360.28,0
148,356.86,855.63,418.3,0
611,206.06,1025,170.52,0
166,44.76,214.97,111.47,0
1942,3253.62,4646.92,3523.55,0
905,68.2,2124.97,0,0
1911,70.69,371.36,0,0
1237,1306.02,4574.89,1481.03,0
4433,999.54,6073.59,1238.88,0
346,12688.49,84666.16,10150.84,970.28
243,202.23,202.42,0,0
309,814.72,6256.4,844.43,535.54
1538,9451.58,31041.43,8629.41,2079.78
1499,712.52,712.52,0,5299.3
2,116.03,680.17,0,0
1692,9383.64,32391,5346.46,137.95
7843,9862.74,13419.05,2641.33,0
73,142.75,123.71,0,0
1582,889.22,1035.92,0,1079.49
1159,170.52,2444.31,0,0
1178,1323.25,9707.72,459.13,22.65
4649,285.23,1551.31,0,0
665,454.73,454.73,0,0
3868,7810.45,39888.54,3841.06,35.11
1290,173.53,360.03,46.65,0
73,35.49,130.38,0,119.91
0,111.68,0,111.68,111.36
2631,6469.17,20169.01,4563.05,0
2,1378.62,1378.62,228.82,0
6623,12486.76,48956.12,12888.76,44.48
4654,23.64,72.93,0,0
0,45.8,129.85,0,0
1280,341.9,518.5,0,0
2634,210.19,787.77,165.49,0
2845,6229.19,61495.93,3621.84,0
0,119.49,452.14,0,0
823,47.03,47.03,0,0
1317,8962.29,51360.04,6952.63,116.21
854,490.76,7000.81,194.85,0
10,698.99,1996.18,0,2177.56
0,356.11,0,356.11,0
905,16181.56,130379.29,11445.78,2976.49
0,55.44,0,55.44,0
0,271.8,0,271.8,0
1572,3186.85,33192.09,9650.01,185.5
1198,2145.74,4706.22,239.67,0
3520,22822.42,116031.82,15929.72,428.24
3130,2432.98,13136.98,2139.21,0
0,465.49,4643.5,0,1858.8
5749,265071.14,1708441.66,226001.97,449.15
4464,960.18,3030.78,640.7,0
511,948.4,4169.24,676.98,0
100,310.71,1111.19,461.38,170.42
1670,71.53,109.66,0,0
0,474.86,2461.46,0,832.87
1745,170.21,440.1,0,0
2583,603.64,3031.51,0,0
1940,1373.51,5994.65,814.4,0
1122,1239.17,7733.6,1875.64,0
2488,153.06,975.66,0,0
4992,1141.4,6008.18,1488.22,69.93
219,23.38,38.81,0,0
3274,239.32,1988.05,237.16,0
385,135.55,6352.25,447.73,0
27,1846.66,9873.63,0,1204.02
1767,233.45,643.13,0,0
5,695.88,1394.3,0,1963.22
5,94.2,263.9,0,0
623,43180.26,358747.77,425248.2,31145.49
850,440.33,5778.99,0,119.45
1911,1758.18,8293.14,3024.84,155.36
0,22.27,0,0,0
942,3612.7,35725.11,2414.15,0
475,11845.27,35077.43,4733.85,0
4698,8979.84,47415.1,4111.76,0
2819,318.52,318.49,0,23.62
0,1187.77,1187.77,0,0
24,460.6,1426.14,0,0
73,22.91,71.02,0,0
1553,114.82,663.83,0,0
0,23.9,31.07,0,0
0,451.09,1277.31,0,1997.19
3943,8923.73,128769.39,4781.29,0
3235,4034.85,13665.2,1210.91,777.14
73,141.2,610.69,0,0
73,58.4,115.16,0,0
2933,1929.41,4025.46,473.05,255.51
3870,9458.45,51003.98,12182.01,224.17
803,209,835.25,58.36,22.9
219,116.35,1019.26,0,0
6368,98762.45,420359.87,86384.53,1634.98
3654,46.53,80.71,0,0
852,894.31,1942.18,0,0
1246,7225.81,34418.44,2882.78,407.85
3142,1422.72,3562.81,705.12,0
4661,7408.69,49980.48,6958.2,0
219,46.19,60.05,0,0
2775,453.69,453.69,0,0
1952,2573.27,9454.48,3176.01,1208.31
1078,3547.5,23697.78,0,1539.79
2626,121.91,182.23,0,141.23
2699,13780.13,151858,16639.65,0
1212,2526.06,8949.41,1180.75,84.88
6745,62813.7,211835.11,70768.34,484.09
6304,34363.89,40342.07,20353.6,1017.7
0,23.46,0,58.12,0
2855,881.35,341.63,863.61,0
222,2731.01,2731.01,682.5,0
730,12015.13,54259.93,9834.89,0
1689,306.31,2046.26,154.01,445.32
1716,1741.88,4358.18,1295.06,209.11
3388,17865.12,129302.2,16157.42,986.85
2008,944.89,3400.37,0,0
2429,103701.12,621171.04,89746.65,2281.31
1348,10509.44,29000.12,5444.27,0
5533,3339.74,15376.71,0,0
3303,4630.3,6342.01,5763.56,0
494,46.29,354.97,0,0
6735,13628.59,79178.15,2362.54,0
1268,852.78,6648.9,732.03,0
2624,3127.85,6135.91,14333.58,0
207,256.39,2956.45,0,114.77
1054,3150.68,8777.09,3148.15,112.24
7509,4677.34,3325.45,3550.88,0
2653,212.26,768.7,0,0
1429,2468.63,8687.71,1051.49,0
543,1599.08,14412.14,1367.32,114.31
570,45.74,181.12,91.48,0
10,175.82,1384.25,0,189.15
2298,140.34,931.39,420.71,0
2166,9156.56,38054.73,8071.89,0
297,6507.46,29432.7,6043.94,479.92
1419,102.69,186.67,198.21,0
4866,23842.73,103745.95,12692.42,3381.83
1507,46.3,82.97,0,0
277,10456.57,107481.42,6745.76,0
1643,47.42,150.78,0,0
1833,47833.47,213174.81,36193.16,935.05
3033,22158.37,157314.47,28514.17,0
3710,34240.3,197554.71,19973.01,44.67
2305,1229.14,11909.52,1375.87,35.52
15,1305.47,2943.27,0,0
1684,261.24,2060.69,0,241.29
3403,11758.11,55459.59,5729.98,0
961,1395.03,5860.74,1185.56,54.46
251,202.76,617.13,0,0
5180,18713.57,136219.23,12238.27,321.74
2463,875.65,5773.84,1384.76,0
669,16464.46,56810.07,15756.9,1609.28
2948,4616.24,21484.49,4056.53,1387.71
3308,6077.34,11616.94,2692.99,467.56
2607,13137.57,42775.37,11979.55,93.22
2631,1989.53,10031.39,278.95,0
219,23.52,40.92,0,0
1546,643.71,4577.73,0,0
1069,82.19,1027.17,189.42,0
2629,7999.4,69277.12,5086.89,795.5
1558,1838.12,13193.94,1250.96,300.57
1889,3226.47,7281.05,6070.48,0
4827,668.34,7413.39,0,0
0,23.23,108.73,0,0
2792,201.95,799.01,0,0
5,1392.07,1392.07,3176.37,0
3822,7235.78,79755.54,4938.96,2353.39
17,1272.46,10988.88,2521.45,71.37
129,365.53,1358.03,200.47,0
4450,36.21,67.59,0,96.36
433,1055.72,3183.71,0,0
1166,7109.44,55640.85,4916.75,209.57
2789,9543.42,39799.69,9842.97,0
236,2664.02,4167.32,2846.9,0
1916,156085.28,433163.26,152265.61,7056.7
550,46.09,92.01,0,0
3960,578.79,578.77,0,0
3875,1786.99,7359.73,961.94,178.66
6063,11275.47,21265.79,12100.71,0
3824,5508.44,33275.16,4064.98,0
0,1852.13,6385.39,0,0
4498,6369.26,34910.9,3446.69,333.68
4527,27363.42,122849.37,15585.52,94.23
380,1876.82,31050.61,1481.04,409.63
219,22.76,191.75,0,0
263,2039.85,2724.26,1223.56,0
7397,62799.75,899026.13,26607,1130.02
6740,10316.45,77677.48,6607.39,2074.52
6246,1653.09,16774.71,0,0
219,34.63,45.71,0,0
0,114.75,0,0,0
124,2060.12,10054,2984.71,2413.3
538,27511.23,101226.12,23199.66,2454.02
4462,779.56,1761.32,0,90.57
173,10520.88,81777.84,8759.46,330.8
73,47.02,178.69,0,0
144,94.92,366.16,0,0
3116,2780.73,3395.14,2241.18,229.28
1509,45.72,130.61,0,0
1565,27703.18,148813.65,20326.36,1646.74
1774,176370.24,1147468.2,138713.45,11028.09
3172,7877.42,37021.98,7197.47,1671.98
0,23.76,78.63,0,0
1271,16248.29,213373.25,8094.44,1829.79
684,1011.4,8109.7,206.78,0
75,103.84,275.24,0,34.85
1044,46044.02,431778.19,22665.22,4142.39
112,347.55,977.08,0,374.79
0,705.26,2857.23,0,116.88
4727,1273.15,7072.7,1853.84,72.02
643,1164.43,9403.65,440.83,23.7
7334,581.45,1415.92,250.1,35
7010,474231.22,3238961.37,324909.05,0
2505,4255.29,16307,3185.64,0
2488,6698.37,17013.46,5061.84,0
684,34450.49,167551.2,9322.09,222.93
2597,4499.51,46034.01,9143.84,0
1658,43514.98,165562.62,25457.35,1477.08
923,452.62,2378.07,2704.71,277.67
3744,285.75,49.53,0,0
886,4760.78,25604.81,2220.26,238.31
15,301.99,2650.46,232.43,587.62
85,1489.09,5573.49,1175.79,0
66,215.26,613.58,0,48.29
489,250.15,1491.18,159.6,0
119,253.09,1294.56,320.59,159.18
219,21.95,30.29,0,0
4080,9479.85,61641.83,4550.91,0
1366,7483.08,20135.75,4592.63,753.57
3498,734.8,2453.48,0,232.44
0,23.73,33.22,0,0
3729,19099.32,138438.48,7223.01,93.96
667,302.12,1340.19,178.14,22.27
1770,755.84,13838.82,1201.5,0
3576,1586.12,2620.27,513.79,0
5287,1185.36,2282.66,753.42,1986.23
7054,17836.44,87625.77,10043.41,631
231,454.27,1290.52,1524.92,0
1475,93.31,93.31,0,0
1903,2140.14,13415.57,589.38,116.16
2639,470.57,3811.69,0,0
1005,4753.04,14468.69,1716.65,1420.76
2344,15533.16,98210.69,11147.63,223.62
1127,3002.99,2999.46,0,1075.96
119,47.68,216.8,0,0
0,57.04,0,57.04,0
1519,471.05,0,471.05,0
5540,12573.28,94624.97,9198.17,0
5255,285599.51,1419779.47,290286.21,19534.5
0,1187.77,7259.54,1128.38,0
24,2385.29,11106.47,0,0
51,35.93,60.04,0,0
2366,115.98,2264.19,920.42,0
2125,53875.71,205970.66,43182.07,0
484,1482.42,8727.46,0,229.09
2777,1108.2,4942.39,111.36,118.14
3512,5110.58,25611.8,4211.11,0
1341,2676.27,8787.94,2015.63,236.58
3805,159230.84,560464.96,128131.54,23.46
73,70.68,137.6,213.23,71.35
387,13713.41,87471.39,3607.43,0
3783,2879.17,8679.02,2150.17,0
73,117.1,225.3,0,0
660,1716.52,3892.38,0,0
1149,57.44,714.46,0,0
584,8275.7,66199.47,3342.12,357.9
499,10804.51,84235.52,6817.24,1083.16
6263,2231.88,4643.53,106.36,205.79
1478,105.2,160.32,0,0
7,201.5,585.07,432.33,0
4440,1961.4,18793.38,899.37,0
4557,1517.52,7977.18,1109.86,0
275,24.19,89.51,0,0
5825,19509.12,77670.69,24153.33,603.21
5752,751.26,3124.13,278.01,669.64
988,9750.78,84634.26,7169.47,456.85
1003,453.92,453.92,429.23,0
394,337.94,660.54,291.17,35.42
7,71.56,555.48,0,787.47
63,5842.29,30440.48,8851.68,4688.72
2346,138.46,705.76,0,0
2466,3414.12,21911.69,3596.88,0
1529,2466.56,11553.08,238.71,0
1288,19506.12,171464.24,27548.82,0
260,258.38,732.09,188.22,0
2475,21380.77,37339.22,13756.17,1702.15
1670,5742.82,23673.61,4197.76,1902.55
2310,212.93,816.02,0,0
0,33.46,0,0,0
2135,6777.68,13725.41,6756.98,579.78
1512,5208.21,22178.67,3503.24,1485
3417,151.4,319.74,0,0
2787,994.08,7776.79,148.23,0
73,70.25,250.78,0,0
6132,44917.54,570120.26,24799.24,886.62
1383,1690.21,6411,0,590.38
3870,14309.9,86552.33,9297.47,3574.95
3362,7238.2,29147.43,0,0
2,166.14,623.4,0,0
219,23.09,11.54,0,0
297,1163.28,5103.29,1646.36,0
222,45.82,212.58,0,0
2237,1564.43,10601.59,1431.46,23.05
46,431.47,2641.48,480.86,0
0,23.77,23.77,0,0
2074,10518.84,28088.87,10049.8,142.25
1874,5978.49,7547.62,3325.68,527.88
2052,46587.54,202356.58,25753.5,46.2
601,160.99,306.2,135.38,0
37,104.35,225.05,0,197.16
2210,1658.28,5159.29,0,0
1154,1057.64,2555.98,0,0
1857,151.54,236.66,69.74,47.85
584,7174.52,154924.74,1179.59,1446.81
1553,22.96,461.28,0,0
2308,1050.54,4411.23,0,0
416,5309.44,30540.04,4425.85,1078.28
1789,7094.31,15335.19,7338.48,237.52
73,47.27,47.27,0,0
0,34.53,34.53,0,0
2,2763.57,1633.54,0,0
3868,943.81,3118.95,0,0
73,280.07,430.6,0,0
3593,7852.73,52042.53,9131.62,209.6
73,23.25,195.15,0,0
1348,2862.67,14149.55,1765.91,0
2057,746.24,3877.94,0,0
1108,5056.33,22835.95,3349.82,230.47
2,23.95,330.53,0,23.8
5460,28338.97,130445.45,22138.13,4962.59
879,3185.41,21558.96,6566.4,1594.73
363,3270.99,5265.87,0,0
10,1865.51,12054.73,1146.56,0
3381,117.37,202.41,0,0
219,235.29,677.44,0,0
6579,33768.46,140730.57,23269.48,4510.7
2110,12031.58,44245.43,12318.08,0
0,23.92,33.49,0,0
591,107600.38,769701.71,93275.6,24013.74
1331,13000.9,50555.62,2128.01,0
312,22.59,254.17,0,0
2524,5442.9,23298.6,5248.53,144.26
2013,2977.48,14345.5,3521.68,0
1521,548.24,5036.57,407.38,0
1865,24.55,24.55,143.04,0
7,22.99,55.18,0,0
1648,70.85,78.61,0,0
1451,1668.21,5137.7,3423.82,0
1154,15795.87,71949.17,17274.69,189.75
73,232.31,398.87,0,0
4737,5617.14,41638.53,0,1112.27
219,115.33,66.89,69.2,0
4591,1134.42,4342.34,193.28,0
4688,43610.7,280809.15,28527.06,5185.88
73,70.82,243.13,0,0
3184,12208.19,73382.71,12516.52,356.41
1821,47.36,60.02,0,0
1589,35932.73,261360.96,23668.42,714.39
117,6889.21,50338.81,0,4751.01
102,475.79,1081,348.43,225.52
287,160.42,616.08,0,0
4581,561.01,691.93,300.92,0
701,8822.75,45786.09,6858.34,2343.13
2103,257.72,987.58,264.89,0
6901,52.1,379.45,0,0
1353,91010.05,1779781.49,8719.7,2611.54
73,35.49,36.91,0,0
716,77456.23,1168858.74,68503.56,53529.91
1251,327095.71,2197059.6,239048.27,22569.83
0,955.9,1991.85,0,0
686,9799.71,77733.2,6703.81,0
0,23.79,205.08,0,0
462,1137.2,5179.13,1007.99,115.3
10,701.3,2741.63,781.61,1084.94
88,3380.28,10963.02,2077.72,1181.78
930,47.14,275.5,0,0
4518,45.92,59.96,0,0
1307,305.11,595.2,0,0
2183,1081.71,5796.7,1720.26,0
15,264.16,1649.78,838.13,239.97
2763,2621.27,13406.16,1766.8,0
2,2758.17,1378.85,0,1372.93
1117,12243.49,49903.68,13499.75,3355.12
297,108.41,1469.7,0,23.23
0,475.91,1099.36,0,548.89
1784,328.68,853.86,116.01,0
932,118.64,3129.24,773.01,110.67
219,34.22,34.22,0,0
3140,380.22,1419.92,0,290.33
3376,4111.34,36397.42,328.94,3007.77
75,23.42,97.82,0,0
4627,3558.46,16932.09,2044.09,0
3379,1382.68,3590.27,880.88,0
0,23.74,28.01,0,0
411,72.83,61.44,84.09,0
3043,68168.4,462726.36,43128.21,854.29
1533,1344.77,3721.45,142.39,1158.81
219,44.8,120.59,46.14,23.64
224,687.84,2764.15,2811.2,0
6443,755183.43,3355044.91,581744.6,4354.77
411,192.41,3623.8,139.29,0
2108,512.01,1892.76,123.62,0
589,5626.89,64938.82,2124.73,5510.01
175,278.76,488.07,0,364.08
4024,17319.05,124407.19,6197.55,3278.45
44,374.51,2547.74,512.22,57.63
1047,8012.64,19838.55,7159.71,160.24
4520,82.6,226.91,0,0
2439,14493.35,84728.43,6953.97,0
0,93.82,98.04,0,94.37
4194,7068.5,40304.89,3630.5,0
3600,15125.31,321289.99,7947.02,204.67
501,5523.34,32804.13,5924.95,1138.66
6506,107.26,209.6,0,213.65
